date,store_id,city,product,units_sold,price,revenue
2025-04-08,S03,Bengaluru,Americano,8,114.63,917.04
2025-04-08,S03,Bengaluru,Mocha,4,133.38,533.52
2025-04-08,S04,Chennai,Espresso,1,42.84,42.84
2025-04-08,S04,Chennai,Latte,5,68.56,342.8
2025-04-08,S04,Chennai,Cappuccino,4,97.81,391.24
2025-04-08,S04,Chennai,Americano,2,112.21,224.42
2025-04-08,S04,Chennai,Mocha,7,132.23,925.61
2025-04-08,S05,Kolkata,Espresso,6,51.67,310.02
2025-04-08,S05,Kolkata,Latte,5,77.58,387.9
2025-04-08,S05,Kolkata,Cappuccino,4,86.03,344.12
2025-04-08,S05,Kolkata,Americano,5,108.27,541.35
2025-04-08,S05,Kolkata,Mocha,7,133.1,931.7
2025-04-09,S01,Mumbai,Espresso,2,44.73,89.46
2025-04-09,S01,Mumbai,Latte,10,63.2,632.0
2025-04-09,S01,Mumbai,Cappuccino,5,84.5,422.5
2025-04-09,S01,Mumbai,Americano,5,120.06,600.3
2025-04-09,S01,Mumbai,Mocha,6,129.96,779.76
2025-04-09,S02,Delhi,Espresso,5,55.65,278.25
2025-04-09,S02,Delhi,Latte,7,70.19,491.33
2025-04-09,S02,Delhi,Cappuccino,6,82.23,493.38
2025-04-09,S02,Delhi,Americano,5,109.32,546.6
2025-04-09,S02,Delhi,Mocha,1,131.81,131.81
2025-04-09,S03,Bengaluru,Espresso,7,43.63,305.41
2025-04-09,S03,Bengaluru,Latte,4,71.48,285.92
2025-04-09,S03,Bengaluru,Cappuccino,6,80.02,480.12
2025-04-09,S03,Bengaluru,Americano,3,101.7,305.1
2025-04-09,S03,Bengaluru,Mocha,4,128.96,515.84
2025-04-09,S04,Chennai,Espresso,3,50.53,151.59
2025-04-09,S04,Chennai,Latte,8,73.15,585.2
2025-04-09,S04,Chennai,Cappuccino,5,82.37,411.85
2025-04-09,S04,Chennai,Americano,1,113.85,113.85
2025-04-09,S04,Chennai,Mocha,4,133.53,534.12
2025-04-09,S05,Kolkata,Espresso,5,55.46,277.3
2025-04-09,S05,Kolkata,Latte,3,72.17,216.51
2025-04-09,S05,Kolkata,Cappuccino,6,85.65,513.9
2025-04-09,S05,Kolkata,Americano,5,108.76,543.8
2025-04-09,S05,Kolkata,Mocha,3,127.75,383.25
2025-04-10,S01,Mumbai,Espresso,5,55.48,277.4
2025-04-10,S01,Mumbai,Latte,6,68.62,411.72
2025-04-10,S01,Mumbai,Cappuccino,5,95.38,476.9
2025-04-10,S01,Mumbai,Americano,9,107.1,963.9
2025-04-10,S01,Mumbai,Mocha,4,120.46,481.84
2025-04-10,S02,Delhi,Espresso,4,39.58,158.32
2025-04-10,S02,Delhi,Latte,5,71.97,359.85
2025-04-10,S02,Delhi,Cappuccino,3,89.33,267.99
2025-04-10,S02,Delhi,Americano,6,109.74,658.44
2025-04-10,S02,Delhi,Mocha,8,129.01,1032.08
2025-04-10,S03,Bengaluru,Espresso,5,52.27,261.35
2025-04-10,S03,Bengaluru,Latte,4,65.15,260.6
2025-04-10,S03,Bengaluru,Cappuccino,4,81.65,326.6
2025-04-10,S03,Bengaluru,Americano,4,104.93,419.72
2025-04-10,S03,Bengaluru,Mocha,4,134.58,538.32
2025-04-10,S04,Chennai,Espresso,4,44.54,178.16
2025-04-10,S04,Chennai,Latte,2,74.95,149.9
2025-04-10,S04,Chennai,Cappuccino,3,86.58,259.74
2025-04-10,S04,Chennai,Americano,9,112.34,1011.06
2025-04-10,S04,Chennai,Mocha,4,127.22,508.88
2025-04-10,S05,Kolkata,Espresso,4,58.72,234.88
2025-04-10,S05,Kolkata,Latte,6,56.45,338.7
2025-04-10,S05,Kolkata,Cappuccino,6,99.68,598.08
2025-04-10,S05,Kolkata,Americano,5,114.87,574.35
2025-04-10,S05,Kolkata,Mocha,4,123.97,495.88
2025-04-11,S01,Mumbai,Espresso,3,43.21,129.63
2025-04-11,S01,Mumbai,Latte,3,67.37,202.11
2025-04-11,S01,Mumbai,Cappuccino,8,83.52,668.16
2025-04-11,S01,Mumbai,Americano,5,109.22,546.1
2025-04-11,S01,Mumbai,Mocha,8,117.54,940.32
2025-04-11,S02,Delhi,Espresso,8,56.47,451.76
2025-04-11,S02,Delhi,Latte,6,68.01,408.06
2025-04-11,S02,Delhi,Cappuccino,6,90.54,543.24
2025-04-11,S02,Delhi,Americano,2,99.63,199.26
2025-04-11,S02,Delhi,Mocha,7,123.91,867.37
2025-04-11,S03,Bengaluru,Espresso,3,48.49,145.47
2025-04-11,S03,Bengaluru,Latte,6,73.36,440.16
2025-04-11,S03,Bengaluru,Cappuccino,2,83.41,166.82
2025-04-11,S03,Bengaluru,Americano,6,107.48,644.88
2025-04-11,S03,Bengaluru,Mocha,6,134.23,805.38
2025-04-11,S04,Chennai,Espresso,5,47.06,235.3
2025-04-11,S04,Chennai,Latte,5,74.77,373.85
2025-04-11,S04,Chennai,Cappuccino,6,79.56,477.36
2025-04-11,S04,Chennai,Americano,4,107.36,429.44
2025-04-11,S04,Chennai,Mocha,4,128.83,515.32
2025-04-11,S05,Kolkata,Espresso,4,47.41,189.64
2025-04-11,S05,Kolkata,Latte,5,63.96,319.8
2025-04-11,S05,Kolkata,Cappuccino,2,89.95,179.9
2025-04-11,S05,Kolkata,Americano,5,113.97,569.85
2025-04-11,S05,Kolkata,Mocha,7,130.33,912.31
2025-04-12,S01,Mumbai,Espresso,6,50.74,304.44
2025-04-12,S01,Mumbai,Latte,5,72.59,362.95
2025-04-12,S01,Mumbai,Cappuccino,9,92.55,832.95
2025-04-12,S01,Mumbai,Americano,8,107.41,859.28
2025-04-12,S01,Mumbai,Mocha,6,128.73,772.38
2025-04-12,S02,Delhi,Espresso,6,49.3,295.8
2025-04-12,S02,Delhi,Latte,5,64.78,323.9
2025-04-12,S02,Delhi,Cappuccino,7,86.48,605.36
2025-04-12,S02,Delhi,Americano,1,100.93,100.93
2025-04-12,S02,Delhi,Mocha,5,135.58,677.9
2025-04-12,S03,Bengaluru,Espresso,8,47.3,378.4
2025-04-12,S03,Bengaluru,Latte,7,74.27,519.89
2025-04-12,S03,Bengaluru,Cappuccino,3,86.76,260.28
2025-04-12,S03,Bengaluru,Americano,5,116.18,580.9
2025-04-12,S03,Bengaluru,Mocha,6,131.28,787.68
2025-04-12,S04,Chennai,Espresso,2,43.26,86.52
2025-04-12,S04,Chennai,Latte,5,60.22,301.1
2025-04-12,S04,Chennai,Cappuccino,8,91.27,730.16
2025-04-12,S04,Chennai,Americano,8,107.47,859.76
2025-04-12,S04,Chennai,Mocha,2,124.56,249.12
2025-04-12,S05,Kolkata,Espresso,11,57.08,627.88
2025-04-12,S05,Kolkata,Latte,4,81.28,325.12
2025-04-12,S05,Kolkata,Cappuccino,4,92.81,371.24
2025-04-12,S05,Kolkata,Americano,4,114.96,459.84
2025-04-12,S05,Kolkata,Mocha,6,126.7,760.2
2025-04-13,S01,Mumbai,Espresso,4,47.93,191.72
2025-04-13,S01,Mumbai,Latte,7,64.71,452.97
2025-04-13,S01,Mumbai,Cappuccino,6,94.93,569.58
2025-04-13,S01,Mumbai,Americano,6,114.08,684.48
2025-04-13,S01,Mumbai,Mocha,4,137.04,548.16
2025-04-13,S02,Delhi,Espresso,3,52.66,157.98
2025-04-13,S02,Delhi,Latte,3,65.34,196.02
2025-04-13,S02,Delhi,Cappuccino,3,90.36,271.08
2025-04-13,S02,Delhi,Americano,4,111.93,447.72
2025-04-13,S02,Delhi,Mocha,4,130.2,520.8
2025-04-13,S03,Bengaluru,Espresso,6,50.8,304.8
2025-04-13,S03,Bengaluru,Latte,6,76.3,457.8
2025-04-13,S03,Bengaluru,Cappuccino,6,83.76,502.56
2025-04-13,S03,Bengaluru,Americano,9,116.3,1046.7
2025-04-13,S03,Bengaluru,Mocha,4,130.86,523.44
2025-04-13,S04,Chennai,Espresso,8,52.17,417.36
2025-04-13,S04,Chennai,Latte,3,72.03,216.09
2025-04-13,S04,Chennai,Cappuccino,5,90.75,453.75
2025-04-13,S04,Chennai,Americano,11,112.0,1232.0
2025-04-13,S04,Chennai,Mocha,5,131.22,656.1
2025-04-13,S05,Kolkata,Espresso,9,41.37,372.33
2025-04-13,S05,Kolkata,Latte,4,67.21,268.84
2025-04-13,S05,Kolkata,Cappuccino,6,96.86,581.16
2025-04-13,S05,Kolkata,Americano,4,105.84,423.36
2025-04-13,S05,Kolkata,Mocha,2,131.12,262.24
2025-04-14,S01,Mumbai,Espresso,6,46.31,277.86
2025-04-14,S01,Mumbai,Latte,5,80.77,403.85
2025-04-14,S01,Mumbai,Cappuccino,5,85.86,429.3
2025-04-14,S01,Mumbai,Americano,3,100.79,302.37
2025-04-14,S01,Mumbai,Mocha,4,134.65,538.6
2025-04-14,S02,Delhi,Espresso,5,52.43,262.15
2025-04-14,S02,Delhi,Latte,5,73.46,367.3
2025-04-14,S02,Delhi,Cappuccino,5,87.6,438.0
2025-04-14,S02,Delhi,Americano,9,117.66,1058.94
2025-04-14,S02,Delhi,Mocha,6,122.18,733.08
2025-04-14,S03,Bengaluru,Espresso,8,52.41,419.28
2025-04-14,S03,Bengaluru,Latte,2,74.36,148.72
2025-04-14,S03,Bengaluru,Cappuccino,5,91.8,459.0
2025-04-14,S03,Bengaluru,Americano,4,114.59,458.36
2025-04-14,S03,Bengaluru,Mocha,1,133.51,133.51
2025-04-14,S04,Chennai,Espresso,3,49.58,148.74
2025-04-14,S04,Chennai,Latte,7,77.75,544.25
2025-04-14,S04,Chennai,Cappuccino,8,86.49,691.92
2025-04-14,S04,Chennai,Americano,7,112.78,789.46
2025-04-14,S04,Chennai,Mocha,3,123.37,370.11
2025-04-14,S05,Kolkata,Espresso,6,41.54,249.24
2025-04-14,S05,Kolkata,Latte,7,66.5,465.5
2025-04-14,S05,Kolkata,Cappuccino,4,83.05,332.2
2025-04-14,S05,Kolkata,Americano,1,105.61,105.61
2025-04-14,S05,Kolkata,Mocha,7,132.25,925.75
2025-04-15,S01,Mumbai,Espresso,8,55.5,444.0
2025-04-15,S01,Mumbai,Latte,2,66.05,132.1
2025-04-15,S01,Mumbai,Cappuccino,3,85.74,257.22
2025-04-15,S01,Mumbai,Americano,1,106.38,106.38
2025-04-15,S01,Mumbai,Mocha,9,132.81,1195.29
2025-04-15,S02,Delhi,Espresso,4,49.49,197.96
2025-04-15,S02,Delhi,Latte,5,62.87,314.35
2025-04-15,S02,Delhi,Cappuccino,2,87.66,175.32
2025-04-15,S02,Delhi,Americano,3,114.72,344.16
2025-04-15,S02,Delhi,Mocha,3,125.18,375.54
2025-04-15,S03,Bengaluru,Espresso,4,57.83,231.32
2025-04-15,S03,Bengaluru,Latte,4,68.8,275.2
2025-04-15,S03,Bengaluru,Cappuccino,7,86.83,607.81
2025-04-15,S03,Bengaluru,Americano,3,112.21,336.63
2025-04-15,S03,Bengaluru,Mocha,2,124.29,248.58
2025-04-15,S04,Chennai,Espresso,6,55.71,334.26
2025-04-15,S04,Chennai,Latte,4,76.67,306.68
2025-04-15,S04,Chennai,Cappuccino,7,84.9,594.3
2025-04-15,S04,Chennai,Americano,3,105.12,315.36
2025-04-15,S04,Chennai,Mocha,1,133.49,133.49
2025-04-15,S05,Kolkata,Espresso,7,47.29,331.03
2025-04-15,S05,Kolkata,Latte,6,68.38,410.28
2025-04-15,S05,Kolkata,Cappuccino,9,84.84,763.56
2025-04-15,S05,Kolkata,Americano,2,109.72,219.44
2025-04-15,S05,Kolkata,Mocha,3,131.49,394.47
2025-04-16,S01,Mumbai,Espresso,5,49.15,245.75
2025-04-16,S01,Mumbai,Latte,8,70.63,565.04
2025-04-16,S01,Mumbai,Cappuccino,5,82.45,412.25
2025-04-16,S01,Mumbai,Americano,5,110.03,550.15
2025-04-16,S01,Mumbai,Mocha,5,125.6,628.0
2025-04-16,S02,Delhi,Espresso,5,50.13,250.65
2025-04-16,S02,Delhi,Latte,6,64.55,387.3
2025-04-16,S02,Delhi,Cappuccino,6,84.45,506.7
2025-04-16,S02,Delhi,Americano,10,107.04,1070.4
2025-04-16,S02,Delhi,Mocha,5,128.99,644.95
2025-04-16,S03,Bengaluru,Espresso,4,51.03,204.12
2025-04-16,S03,Bengaluru,Latte,4,76.99,307.96
2025-04-16,S03,Bengaluru,Cappuccino,1,93.51,93.51
2025-04-16,S03,Bengaluru,Americano,3,109.85,329.55
2025-04-16,S03,Bengaluru,Mocha,6,136.83,820.98
2025-04-16,S04,Chennai,Espresso,10,55.77,557.7
2025-04-16,S04,Chennai,Latte,7,67.5,472.5
2025-04-16,S04,Chennai,Cappuccino,5,90.43,452.15
2025-04-16,S04,Chennai,Americano,3,111.19,333.57
2025-04-16,S04,Chennai,Mocha,7,120.66,844.62
2025-04-16,S05,Kolkata,Espresso,5,55.62,278.1
2025-04-16,S05,Kolkata,Latte,4,75.88,303.52
2025-04-16,S05,Kolkata,Cappuccino,5,96.29,481.45
2025-04-16,S05,Kolkata,Americano,5,103.42,517.1
2025-04-16,S05,Kolkata,Mocha,4,132.14,528.56
2025-04-17,S01,Mumbai,Espresso,6,57.0,342.0
2025-04-17,S01,Mumbai,Latte,4,70.55,282.2
2025-04-17,S01,Mumbai,Cappuccino,5,87.04,435.2
2025-04-17,S01,Mumbai,Americano,6,107.05,642.3
2025-04-17,S01,Mumbai,Mocha,8,131.66,1053.28
2025-04-17,S02,Delhi,Espresso,3,40.01,120.03
2025-04-17,S02,Delhi,Latte,4,62.23,248.92
2025-04-17,S02,Delhi,Cappuccino,5,93.99,469.95
2025-04-17,S02,Delhi,Americano,6,102.83,616.98
2025-04-17,S02,Delhi,Mocha,5,134.13,670.65
2025-04-17,S03,Bengaluru,Espresso,2,43.92,87.84
2025-04-17,S03,Bengaluru,Latte,4,74.24,296.96
2025-04-17,S03,Bengaluru,Cappuccino,10,96.29,962.9
2025-04-17,S03,Bengaluru,Americano,4,115.77,463.08
2025-04-17,S03,Bengaluru,Mocha,1,127.56,127.56
2025-04-17,S04,Chennai,Espresso,3,44.44,133.32
2025-04-17,S04,Chennai,Latte,2,67.14,134.28
2025-04-17,S04,Chennai,Cappuccino,4,80.95,323.8
2025-04-17,S04,Chennai,Americano,6,106.9,641.4
2025-04-17,S04,Chennai,Mocha,7,134.68,942.76
2025-04-17,S05,Kolkata,Espresso,3,56.96,170.88
2025-04-17,S05,Kolkata,Latte,9,71.9,647.1
2025-04-17,S05,Kolkata,Cappuccino,3,78.26,234.78
2025-04-17,S05,Kolkata,Americano,9,108.2,973.8
2025-04-17,S05,Kolkata,Mocha,4,135.91,543.64
2025-04-18,S01,Mumbai,Espresso,1,51.53,51.53
2025-04-18,S01,Mumbai,Latte,7,76.47,535.29
2025-04-18,S01,Mumbai,Cappuccino,4,100.02,400.08
2025-04-18,S01,Mumbai,Americano,7,107.6,753.2
2025-04-18,S01,Mumbai,Mocha,4,129.77,519.08
2025-04-18,S02,Delhi,Espresso,4,45.12,180.48
2025-04-18,S02,Delhi,Latte,4,77.53,310.12
2025-04-18,S02,Delhi,Cappuccino,7,84.7,592.9
2025-04-18,S02,Delhi,Americano,10,115.07,1150.7
2025-04-18,S02,Delhi,Mocha,2,138.0,276.0
2025-04-18,S03,Bengaluru,Espresso,5,41.85,209.25
2025-04-18,S03,Bengaluru,Latte,3,61.22,183.66
2025-04-18,S03,Bengaluru,Cappuccino,7,94.77,663.39
2025-04-18,S03,Bengaluru,Americano,6,117.89,707.34
2025-04-18,S03,Bengaluru,Mocha,6,130.52,783.12
2025-04-18,S04,Chennai,Espresso,5,55.88,279.4
2025-04-18,S04,Chennai,Latte,4,70.34,281.36
2025-04-18,S04,Chennai,Cappuccino,5,91.61,458.05
2025-04-18,S04,Chennai,Americano,7,113.71,795.97
2025-04-18,S04,Chennai,Mocha,6,125.33,751.98
2025-04-18,S05,Kolkata,Espresso,9,45.14,406.26
2025-04-18,S05,Kolkata,Latte,6,68.01,408.06
2025-04-18,S05,Kolkata,Cappuccino,7,86.86,608.02
2025-04-18,S05,Kolkata,Americano,2,114.58,229.16
2025-04-18,S05,Kolkata,Mocha,4,131.62,526.48
2025-04-19,S01,Mumbai,Espresso,5,48.43,242.15
2025-04-19,S01,Mumbai,Latte,4,76.34,305.36
2025-04-19,S01,Mumbai,Cappuccino,6,95.6,573.6
2025-04-19,S01,Mumbai,Americano,4,111.14,444.56
2025-04-19,S01,Mumbai,Mocha,8,134.72,1077.76
2025-04-19,S02,Delhi,Espresso,2,46.8,93.6
2025-04-19,S02,Delhi,Latte,6,68.65,411.9
2025-04-19,S02,Delhi,Cappuccino,5,89.02,445.1
2025-04-19,S02,Delhi,Americano,3,110.97,332.91
2025-04-19,S02,Delhi,Mocha,9,133.03,1197.27
2025-04-19,S03,Bengaluru,Espresso,12,55.8,669.6
2025-04-19,S03,Bengaluru,Latte,5,73.65,368.25
2025-04-19,S03,Bengaluru,Cappuccino,7,86.18,603.26
2025-04-19,S03,Bengaluru,Americano,6,107.12,642.72
2025-04-19,S03,Bengaluru,Mocha,6,133.0,798.0
2025-04-19,S04,Chennai,Espresso,2,60.0,120.0
2025-04-19,S04,Chennai,Latte,4,66.47,265.88
2025-04-19,S04,Chennai,Cappuccino,5,84.26,421.3
2025-04-19,S04,Chennai,Americano,6,107.03,642.18
2025-04-19,S04,Chennai,Mocha,9,135.17,1216.53
2025-04-19,S05,Kolkata,Espresso,7,44.91,314.37
2025-04-19,S05,Kolkata,Latte,7,65.82,460.74
2025-04-19,S05,Kolkata,Cappuccino,10,94.0,940.0
2025-04-19,S05,Kolkata,Americano,10,99.78,997.8
2025-04-19,S05,Kolkata,Mocha,3,140.41,421.23
2025-04-20,S01,Mumbai,Espresso,4,46.14,184.56
2025-04-20,S01,Mumbai,Latte,11,62.94,692.34
2025-04-20,S01,Mumbai,Cappuccino,3,88.39,265.17
2025-04-20,S01,Mumbai,Americano,0,117.08,0.0
2025-04-20,S01,Mumbai,Mocha,5,136.87,684.35
2025-04-20,S02,Delhi,Espresso,6,50.64,303.84
2025-04-20,S02,Delhi,Latte,11,66.91,736.01
2025-04-20,S02,Delhi,Cappuccino,4,80.08,320.32
2025-04-20,S02,Delhi,Americano,4,112.38,449.52
2025-04-20,S02,Delhi,Mocha,4,135.84,543.36
2025-04-20,S03,Bengaluru,Espresso,6,59.35,356.1
2025-04-20,S03,Bengaluru,Latte,6,82.35,494.1
2025-04-20,S03,Bengaluru,Cappuccino,5,92.54,462.7
2025-04-20,S03,Bengaluru,Americano,4,115.07,460.28
2025-04-20,S03,Bengaluru,Mocha,7,129.03,903.21
2025-04-20,S04,Chennai,Espresso,4,45.43,181.72
2025-04-20,S04,Chennai,Latte,9,67.2,604.8
2025-04-20,S04,Chennai,Cappuccino,2,86.87,173.74
2025-04-20,S04,Chennai,Americano,5,116.4,582.0
2025-04-20,S04,Chennai,Mocha,6,134.41,806.46
2025-04-20,S05,Kolkata,Espresso,3,49.49,148.47
2025-04-20,S05,Kolkata,Latte,8,67.58,540.64
2025-04-20,S05,Kolkata,Cappuccino,2,91.19,182.38
2025-04-20,S05,Kolkata,Americano,5,119.8,599.0
2025-04-20,S05,Kolkata,Mocha,2,123.99,247.98
2025-04-21,S01,Mumbai,Espresso,5,41.46,207.3
2025-04-21,S01,Mumbai,Latte,5,69.14,345.7
2025-04-21,S01,Mumbai,Cappuccino,4,84.9,339.6
2025-04-21,S01,Mumbai,Americano,4,111.31,445.24
2025-04-21,S01,Mumbai,Mocha,3,133.13,399.39
2025-04-21,S02,Delhi,Espresso,4,48.35,193.4
2025-04-21,S02,Delhi,Latte,3,64.14,192.42
2025-04-21,S02,Delhi,Cappuccino,6,92.31,553.86
2025-04-21,S02,Delhi,Americano,0,109.38,0.0
2025-04-21,S02,Delhi,Mocha,1,117.24,117.24
2025-04-21,S03,Bengaluru,Espresso,6,62.37,374.22
2025-04-21,S03,Bengaluru,Latte,4,66.82,267.28
2025-04-21,S03,Bengaluru,Cappuccino,2,90.55,181.1
2025-04-21,S03,Bengaluru,Americano,4,107.86,431.44
2025-04-21,S03,Bengaluru,Mocha,4,133.36,533.44
2025-04-21,S04,Chennai,Espresso,8,48.03,384.24
2025-04-21,S04,Chennai,Latte,2,72.87,145.74
2025-04-21,S04,Chennai,Cappuccino,7,79.98,559.86
2025-04-21,S04,Chennai,Americano,6,106.77,640.62
2025-04-21,S04,Chennai,Mocha,4,120.79,483.16
2025-04-21,S05,Kolkata,Espresso,4,41.64,166.56
2025-04-21,S05,Kolkata,Latte,4,68.57,274.28
2025-04-21,S05,Kolkata,Cappuccino,3,92.73,278.19
2025-04-21,S05,Kolkata,Americano,8,114.29,914.32
2025-04-21,S05,Kolkata,Mocha,3,118.42,355.26
2025-04-22,S01,Mumbai,Espresso,6,43.15,258.9
2025-04-22,S01,Mumbai,Latte,2,72.35,144.7
2025-04-22,S01,Mumbai,Cappuccino,6,84.25,505.5
2025-04-22,S01,Mumbai,Americano,5,109.51,547.55
2025-04-22,S01,Mumbai,Mocha,2,130.49,260.98
2025-04-22,S02,Delhi,Espresso,6,46.7,280.2
2025-04-22,S02,Delhi,Latte,5,82.62,413.1
2025-04-22,S02,Delhi,Cappuccino,3,93.46,280.38
2025-04-22,S02,Delhi,Americano,7,111.65,781.55
2025-04-22,S02,Delhi,Mocha,7,125.04,875.28
2025-04-22,S03,Bengaluru,Espresso,9,52.8,475.2
2025-04-22,S03,Bengaluru,Latte,4,68.83,275.32
2025-04-22,S03,Bengaluru,Cappuccino,4,90.3,361.2
2025-04-22,S03,Bengaluru,Americano,2,112.35,224.7
2025-04-22,S03,Bengaluru,Mocha,8,137.04,1096.32
2025-04-22,S04,Chennai,Espresso,4,57.82,231.28
2025-04-22,S04,Chennai,Latte,4,64.71,258.84
2025-04-22,S04,Chennai,Cappuccino,7,89.95,629.65
2025-04-22,S04,Chennai,Americano,3,109.57,328.71
2025-04-22,S04,Chennai,Mocha,6,125.15,750.9
2025-04-22,S05,Kolkata,Espresso,4,50.88,203.52
2025-04-22,S05,Kolkata,Latte,4,75.49,301.96
2025-04-22,S05,Kolkata,Cappuccino,5,92.88,464.4
2025-04-22,S05,Kolkata,Americano,6,107.69,646.14
2025-04-22,S05,Kolkata,Mocha,2,138.96,277.92
2025-04-23,S01,Mumbai,Espresso,6,47.53,285.18
2025-04-23,S01,Mumbai,Latte,1,67.24,67.24
2025-04-23,S01,Mumbai,Cappuccino,3,98.14,294.42
2025-04-23,S01,Mumbai,Americano,2,110.76,221.52
2025-04-23,S01,Mumbai,Mocha,2,134.44,268.88
2025-04-23,S02,Delhi,Espresso,11,50.43,554.73
2025-04-23,S02,Delhi,Latte,5,59.46,297.3
2025-04-23,S02,Delhi,Cappuccino,4,89.99,359.96
2025-04-23,S02,Delhi,Americano,3,107.92,323.76
2025-04-23,S02,Delhi,Mocha,4,134.39,537.56
2025-04-23,S03,Bengaluru,Espresso,7,54.2,379.4
2025-04-23,S03,Bengaluru,Latte,7,69.24,484.68
2025-04-23,S03,Bengaluru,Cappuccino,7,93.96,657.72
2025-04-23,S03,Bengaluru,Americano,3,107.8,323.4
2025-04-23,S03,Bengaluru,Mocha,7,121.13,847.91
2025-04-23,S04,Chennai,Espresso,6,51.84,311.04
2025-04-23,S04,Chennai,Latte,7,67.93,475.51
2025-04-23,S04,Chennai,Cappuccino,5,89.74,448.7
2025-04-23,S04,Chennai,Americano,3,109.87,329.61
2025-04-23,S04,Chennai,Mocha,1,132.02,132.02
2025-04-23,S05,Kolkata,Espresso,6,50.0,300.0
2025-04-23,S05,Kolkata,Latte,8,71.8,574.4
2025-04-23,S05,Kolkata,Cappuccino,4,88.68,354.72
2025-04-23,S05,Kolkata,Americano,11,118.17,1299.87
2025-04-23,S05,Kolkata,Mocha,3,128.78,386.34
2025-04-24,S01,Mumbai,Espresso,6,45.64,273.84
2025-04-24,S01,Mumbai,Latte,4,63.98,255.92
2025-04-24,S01,Mumbai,Cappuccino,3,83.77,251.31
2025-04-24,S01,Mumbai,Americano,7,99.31,695.17
2025-04-24,S01,Mumbai,Mocha,4,135.83,543.32
2025-04-24,S02,Delhi,Espresso,3,53.83,161.49
2025-04-24,S02,Delhi,Latte,8,70.85,566.8
2025-04-24,S02,Delhi,Cappuccino,1,85.79,85.79
2025-04-24,S02,Delhi,Americano,4,108.69,434.76
2025-04-24,S02,Delhi,Mocha,13,129.68,1685.84
2025-04-24,S03,Bengaluru,Espresso,5,54.97,274.85
2025-04-24,S03,Bengaluru,Latte,8,69.3,554.4
2025-04-24,S03,Bengaluru,Cappuccino,8,90.46,723.68
2025-04-24,S03,Bengaluru,Americano,4,110.18,440.72
2025-04-24,S03,Bengaluru,Mocha,3,131.1,393.3
2025-04-24,S04,Chennai,Espresso,6,54.89,329.34
2025-04-24,S04,Chennai,Latte,7,68.57,479.99
2025-04-24,S04,Chennai,Cappuccino,12,101.25,1215.0
2025-04-24,S04,Chennai,Americano,9,110.09,990.81
2025-04-24,S04,Chennai,Mocha,2,128.5,257.0
2025-04-24,S05,Kolkata,Espresso,6,44.02,264.12
2025-04-24,S05,Kolkata,Latte,4,62.56,250.24
2025-04-24,S05,Kolkata,Cappuccino,4,89.98,359.92
2025-04-24,S05,Kolkata,Americano,6,110.09,660.54
2025-04-24,S05,Kolkata,Mocha,7,132.55,927.85
2025-04-25,S01,Mumbai,Espresso,6,47.16,282.96
2025-04-25,S01,Mumbai,Latte,6,71.78,430.68
